"Date","Price","Open","High","Low","Change %"
"Apr 26, 2016","2.8208","2.8430","2.8491","2.8130","-0.82%"
"Apr 25, 2016","2.8440","2.8434","2.8535","2.8390","-0.17%"
"Apr 22, 2016","2.8489","2.8307","2.8540","2.8215","0.56%"
"Apr 21, 2016","2.8331","2.8135","2.8363","2.8070","0.68%"
"Apr 20, 2016","2.8140","2.8297","2.8420","2.8040","-0.61%"
"Apr 19, 2016","2.8312","2.8383","2.8430","2.8210","-0.30%"
"Apr 18, 2016","2.8398","2.8515","2.8661","2.8340","-0.51%"
"Apr 15, 2016","2.8545","2.8489","2.8635","2.8459","0.16%"
"Apr 14, 2016","2.8499","2.8452","2.8720","2.8410","0.11%"
"Apr 13, 2016","2.8467","2.8339","2.8590","2.8300","0.40%"
"Apr 12, 2016","2.8354","2.8316","2.8490","2.8170","0.08%"
"Apr 11, 2016","2.8331","2.8471","2.8541","2.8160","-0.56%"
"Apr 08, 2016","2.8491","2.8603","2.8716","2.8410","-0.44%"
"Apr 07, 2016","2.8618","2.8397","2.8650","2.8235","0.75%"
"Apr 06, 2016","2.8406","2.8309","2.8590","2.8210","0.29%"
"Apr 05, 2016","2.8324","2.8110","2.8380","2.8070","0.70%"
"Apr 04, 2016","2.8128","2.8220","2.8291","2.8020","-0.33%"
"Apr 01, 2016","2.8221","2.8155","2.8370","2.8118","0.18%"
"Mar 31, 2016","2.8170","2.8344","2.8425","2.8110","-0.67%"
"Mar 30, 2016","2.8359","2.8363","2.8490","2.8220","-0.06%"
"Mar 29, 2016","2.8377","2.8673","2.8770","2.8330","-1.08%"
"Mar 28, 2016","2.8688","2.8709","2.8800","2.8630","-0.26%"
"Mar 25, 2016","2.8763","2.8713","2.8830","2.8645","0.14%"
"Mar 24, 2016","2.8724","2.8749","2.8910","2.8687","-0.18%"
"Mar 23, 2016","2.8775","2.8647","2.8829","2.8610","0.37%"
"Mar 22, 2016","2.8668","2.8607","2.8851","2.8545","0.29%"
"Mar 21, 2016","2.8585","2.8611","2.8815","2.8525","-0.32%"
"Mar 18, 2016","2.8676","2.8388","2.8694","2.8370","0.91%"
